x,y
0,7e-05
1,0.00027
2,0.00718
3,0.00754
4,0.0125
5,0.0191
6,0.01911
7,0.01925
8,0.029
9,0.03783
10,0.04387
11,0.04448
12,0.046
13,0.05233
14,0.05688
15,0.05983
16,0.06239
17,0.07036
18,0.08053
19,0.08079
20,0.09088
21,0.09244
22,0.11932
23,0.12797
24,0.13047
25,0.13111
26,0.13537
27,0.16159
28,0.16733
29,0.17983
30,0.18402
31,0.18552
32,0.19518
33,0.21268
34,0.21477
35,0.2249
36,0.24117
37,0.25203
38,0.25937
39,0.27256
40,0.27629
41,0.2772
42,0.29351
43,0.30171
44,0.30633
45,0.32596
46,0.33224
47,0.34395
48,0.37249
49,0.39846
50,0.40435
51,0.42242
52,0.42259
53,0.43043
54,0.43219
55,0.4644
56,0.46624
57,0.50453
58,0.50512
59,0.52512
60,0.53212
61,0.54009
62,0.54132
63,0.56267
64,0.56693
65,0.56827
66,0.57741
67,0.60575
68,0.60791
69,0.61469
70,0.62862
71,0.68048
72,0.6992
73,0.70182
74,0.71087
75,0.72014
76,0.72696
77,0.74157
78,0.74229
79,0.75886
80,0.76099
81,0.77548
82,0.78565
83,0.81931
84,0.83194
85,0.84314
86,0.84574
87,0.85057
88,0.85733
89,0.86355
90,0.88146
91,0.89112
92,0.8992
93,0.92613
94,0.94979
95,0.95509
96,0.96075
97,0.96302
98,0.98829
99,0.99279
