x,count_trump,count_clinton
2016-11-08 02:00:00,1246,2954
2016-11-08 02:15:00,1124,3111
2016-11-08 02:30:00,1329,2771
2016-11-08 02:45:00,1349,2374
2016-11-08 03:00:00,1425,2348
2016-11-08 03:15:00,1350,2376
2016-11-08 03:30:00,1288,2132
2016-11-08 03:45:00,1260,1969
2016-11-08 04:00:00,1143,1953
2016-11-08 04:15:00,1062,1805
2016-11-08 04:30:00,1063,1875
2016-11-08 04:45:00,948,2143
2016-11-08 05:00:00,1043,1971
2016-11-08 05:15:00,999,1958
2016-11-08 05:30:00,1076,1806
2016-11-08 05:45:00,978,2114
2016-11-08 06:00:00,1031,2604
2016-11-08 06:15:00,1006,2476
2016-11-08 06:30:00,1278,2166
2016-11-08 06:45:00,1539,2054
2016-11-08 07:00:00,1257,2151
2016-11-08 07:15:00,1196,2093
2016-11-08 07:30:00,1190,1808
2016-11-08 07:45:00,1129,1889
2016-11-08 08:00:00,1148,1800
2016-11-08 08:15:00,1064,1646
2016-11-08 08:30:00,959,1888
2016-11-08 08:45:00,1039,1746
2016-11-08 09:00:00,992,1600
2016-11-08 09:15:00,1078,1556
2016-11-08 09:30:00,865,1290
2016-11-08 09:45:00,1140,1787
2016-11-08 10:00:00,1041,1927
2016-11-08 10:15:00,1053,1787
2016-11-08 10:30:00,1020,1841
2016-11-08 10:45:00,1289,1727
2016-11-08 11:00:00,1242,1877
2016-11-08 11:15:00,1255,1858
2016-11-08 11:30:00,1295,1770
2016-11-08 11:45:00,1403,2187
2016-11-08 12:00:00,1199,2041
2016-11-08 12:15:00,1243,1835
2016-11-08 12:30:00,1116,1926
2016-11-08 12:45:00,1079,1680
2016-11-08 13:00:00,998,1946
2016-11-08 13:15:00,932,1756
2016-11-08 13:30:00,904,1895
2016-11-08 13:45:00,860,1740
2016-11-08 14:00:00,882,2195
2016-11-08 14:15:00,904,1850
2016-11-08 14:30:00,851,1730
2016-11-08 14:45:00,807,1722
2016-11-08 15:00:00,811,1849
2016-11-08 15:15:00,842,1615
2016-11-08 15:30:00,874,1492
2016-11-08 15:45:00,762,1400
2016-11-08 16:00:00,778,1345
2016-11-08 16:15:00,769,1394
2016-11-08 16:30:00,1214,1371
2016-11-08 16:45:00,1273,1222
2016-11-08 17:00:00,1074,1262
2016-11-08 17:15:00,1012,1247
2016-11-08 17:30:00,1051,1186
2016-11-08 17:45:00,997,1053
2016-11-08 18:00:00,1346,979
2016-11-08 18:15:00,1113,986
2016-11-08 18:30:00,1081,1027
2016-11-08 18:45:00,1053,1031
2016-11-08 19:00:00,1041,1243
2016-11-08 19:15:00,1189,1169
2016-11-08 19:30:00,1090,973
2016-11-08 19:45:00,1138,998
2016-11-08 20:00:00,996,988
2016-11-08 20:15:00,992,1330
2016-11-08 20:30:00,885,1028
2016-11-08 20:45:00,920,1012
2016-11-08 21:00:00,1039,1047
2016-11-08 21:15:00,1745,1106
2016-11-08 21:30:00,2582,1063
2016-11-08 21:45:00,1865,1063
2016-11-08 22:00:00,1580,888
2016-11-08 22:15:00,1530,908
2016-11-08 22:30:00,1587,814
2016-11-08 22:45:00,1429,923
2016-11-08 23:00:00,1846,990
2016-11-08 23:15:00,1506,870
2016-11-08 23:30:00,1244,824
2016-11-08 23:45:00,1192,829
2016-11-09 00:00:00,1448,872
2016-11-09 00:15:00,1213,881
2016-11-09 00:30:00,946,784
2016-11-09 00:45:00,908,770
2016-11-09 01:00:00,917,1143
2016-11-09 01:15:00,721,638
2016-11-09 01:30:00,792,695
2016-11-09 01:45:00,720,887
2016-11-09 02:00:00,1088,894
2016-11-09 02:15:00,684,811
2016-11-09 02:30:00,625,693
2016-11-09 02:45:00,959,651
2016-11-09 03:00:00,768,779
2016-11-09 03:15:00,730,753
2016-11-09 03:30:00,562,739
2016-11-09 03:45:00,820,675
2016-11-09 04:00:00,844,974
2016-11-09 04:15:00,609,697
2016-11-09 04:30:00,842,534
2016-11-09 04:45:00,594,546
2016-11-09 05:00:00,500,525
2016-11-09 05:15:00,543,628
2016-11-09 05:30:00,401,529
2016-11-09 05:45:00,535,602
2016-11-09 06:00:00,527,725
2016-11-09 06:15:00,536,683
2016-11-09 06:30:00,544,563
2016-11-09 06:45:00,665,751
2016-11-09 07:00:00,671,1062
2016-11-09 07:15:00,668,927
2016-11-09 07:30:00,1066,772
2016-11-09 07:45:00,1198,680
2016-11-09 08:00:00,963,600
2016-11-09 08:15:00,942,686
2016-11-09 08:30:00,753,714
2016-11-09 08:45:00,777,739
2016-11-09 09:00:00,767,756
2016-11-09 09:15:00,709,807
2016-11-09 09:30:00,672,730
2016-11-09 09:45:00,795,710
2016-11-09 10:00:00,728,694
2016-11-09 10:15:00,682,698
2016-11-09 10:30:00,681,659
2016-11-09 10:45:00,104,99
